TIMESTAMP,SYMBOL,avg_chg_oi_CE,avg_chg_oi_PE,avg_price_CE,avg_price_PE,total_contracts_CE,total_contracts_PE,total_open_int_CE,total_open_int_PE,PCR,PRICE,PRICE_NEXT,price_change,price_pct_change,price_rolling_mean,total_oi,total_volume,oi_diff,chg_oi_total,oi_build_up,direction,volatility
215-03-27,BANKNIFTY,0.0,0.0,1099.95,15707.785994066422,0.0,0.0,0.0,0.0,0.0,8403.86799703321,378.05,-8025.81799703321,-0.9550147622340734,1987.708599406642,0.0,0.0,0.0,0.0,neutral,0,0
215-03-30,BANKNIFTY,0.0,0.0,756.1,0.0,0.0,0.0,0.0,0.0,0.0,378.05,328.975,-49.07499999999999,-0.12981087157783358,1943.6835994066419,0.0,0.0,0.0,0.0,neutral,0,0
215-04-16,BANKNIFTY,0.0,0.0,657.95,0.0,259953.81219166543,0.0,0.0,0.0,0.0,328.975,17.475,-311.5,-0.9468804620411885,1974.6735994066416,0.0,259953.81219166543,0.0,0.0,neutral,0,0
215-04-17,BANKNIFTY,0.0,375.0,0.0,34.95,0.0,37.0,0.0,12425.0,0.0,17.475,158.05,140.57500000000002,8.044349070100143,1977.9935994066418,12425.0,37.0,-12425.0,375.0,bullish,1,1
215-04-21,BANKNIFTY,0.0,350.0,0.0,316.1,0.0,14.0,0.0,425.0,0.0,158.05,4328.226385475421,4170.176385475421,26.3851716891833,1857.283599406642,425.0,14.0,-425.0,350.0,bullish,1,1
215-04-22,BANKNIFTY,1175.0,0.0,8656.452770950842,0.0,84.0,0.0,2275.0,0.0,0.0,4328.226385475421,61.45,-4266.776385475421,-0.9858024986386542,1042.1552770950843,2275.0,84.0,2275.0,1175.0,bearish,0,0
215-04-23,BANKNIFTY,12300.0,0.0,122.9,0.0,1465.0,0.0,41450.0,0.0,0.0,61.45,561.85,500.40000000000003,8.143205858421481,978.8352770950842,41450.0,1465.0,41450.0,12300.0,bullish,1,1
215-05-05,BANKNIFTY,0.0,0.0,0.0,1123.7,0.0,0.0,0.0,0.0,0.0,561.85,163.5625,-398.2875,-0.7088858236184035,1025.4102770950844,0.0,0.0,0.0,0.0,neutral,0,0
215-05-06,BANKNIFTY,0.0,637.5,0.0,327.125,0.0,-268121.7036266766,0.0,3075.0,0.0,163.5625,714.075,550.5125,3.3657623232709213,1054.6277770950842,3075.0,-268121.7036266766,-3075.0,637.5,bullish,1,1
215-05-14,BANKNIFTY,0.0,0.0,1428.15,0.0,0.0,0.0,0.0,0.0,0.0,714.075,239.35,-474.725,-0.6648111192801877,1165.832777095084,0.0,0.0,0.0,0.0,neutral,0,0
